cost,incumbents,operation_time
500,-0.7669798434723295,0.0
600,-0.39037994915476576,1.230351209640503
700,-0.39037994915476576,1.0523180961608887
800,-0.39037994915476576,1.079286813735962
810,-0.39037994915476576,1.1152470111846924
910,-0.39037994915476576,0.9976403713226318
1010,-0.08560638506958335,0.9952630996704102
1110,-0.00014865576698351224,1.0183758735656738
1120,-0.00014865576698351224,0.9946377277374268
1220,-0.00014865576698351224,0.9290480613708496
1320,-0.00014865576698351224,0.9401700496673584
