cost,rmse,r2,nll,nrmse,time
90,0.103051975,0.9782797962201552,-1.7853590250015259,0.34419054,0.2364799976348877
51,0.119380295,0.9708514741492252,-1.6272614002227783,0.20303732,0.2778620719909668
60,0.10295531,0.978320522404234,-1.7464977502822876,0.40870246,0.20824408531188965
74,0.11073499,0.9749203757225601,-1.698392629623413,0.26676348,0.2243027687072754
74,0.11104889,0.9747779864025897,-1.6519598960876465,0.27973682,0.2087390422821045
