cost,incumbents,operation_time
799.3241002511675,1.3366893863522948,0.26423192024230957
809.8207034578775,1.3366893863522948,0.10526585578918457
852.5412021442942,1.3366893863522948,0.11385703086853027
877.2023751935717,1.4882232244624953,0.11137890815734863
887.9557350222627,1.4882232244624953,0.11445307731628418
910.146413729492,1.4882232244624953,0.11759114265441895
921.041478447902,1.4882232244624953,0.12369704246520996
932.5351358584059,1.4882232244624953,0.1234290599822998
964.0239106192294,2.2919565335492225,0.11139106750488281
977.0662590642775,2.2919565335492225,0.1114189624786377
