train_sample_num,rmse,nrmse,r2,time
8,2.9710379,0.13596506,-0.14737085594573562,2.03647780418396
16,3.0625627,0.12521532,-0.21915073934860296,1.8576223850250244
32,2.8954394,0.13135783,-0.0897235793145843,1.8822994232177734
64,2.8653483,0.14116834,-0.0671913319459041,1.918569803237915
