cost,incumbents,operation_time
393.200705578766,-13.985506263843991,13.949165105819702
432.0729550161899,-13.985506263843991,3.1315689086914062
473.8880789986922,-9.100064751081012,0.5716898441314697
534.8879476552985,-9.100064751081012,0.604529857635498
545.827948899474,-9.100064751081012,0.6044857501983643
564.055454271515,-1.2344442051899804,0.538532018661499
590.7462196674887,-1.2344442051899804,0.5559282302856445
687.8296668158995,-1.2344442051899804,0.5288650989532471
765.1516580872483,-1.2344442051899804,0.6910209655761719
778.7571663233382,-1.2344442051899804,0.6352472305297852
