train_sample_num,rmse,nrmse,r2,nll,time
4,351.71353,0.7948652,-106.80026257278834,25158.158203125,2.6743128299713135
8,315.3392,0.5888466,-85.65579529237345,21234.626953125,2.5448546409606934
16,296.7306,0.5012358,-75.7302097558275,19195.552734375,2.5974676609039307
32,243.4026,0.45712584,-50.62882220098553,14029.4638671875,2.578903913497925
