2024-03-13 15:53:05,311 - INFO - torch_version:2.1.1+cpu
2024-03-13 15:53:05,369 - INFO - training finished,start predicting
2024-03-13 15:53:42,560 - INFO - torch_version:2.1.1+cpu
2024-03-13 15:53:42,565 - INFO - training finished,start predicting
2024-03-13 15:53:43,893 - DEBUG - Epoch 11 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.8909])), ('cigp_list.0.kernel.length_scales', tensor([0.8884])), ('cigp_list.0.kernel.signal_variance', tensor([1.1097])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,908 - DEBUG - Epoch 12 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.8811])), ('cigp_list.0.kernel.length_scales', tensor([0.8779])), ('cigp_list.0.kernel.signal_variance', tensor([1.1198])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,921 - DEBUG - Epoch 13 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.8715])), ('cigp_list.0.kernel.length_scales', tensor([0.8672])), ('cigp_list.0.kernel.signal_variance', tensor([1.1301])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,934 - DEBUG - Epoch 14 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.8618])), ('cigp_list.0.kernel.length_scales', tensor([0.8564])), ('cigp_list.0.kernel.signal_variance', tensor([1.1404])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,946 - DEBUG - Epoch 15 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.8523])), ('cigp_list.0.kernel.length_scales', tensor([0.8455])), ('cigp_list.0.kernel.signal_variance', tensor([1.1508])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,959 - DEBUG - Epoch 16 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.8428])), ('cigp_list.0.kernel.length_scales', tensor([0.8345])), ('cigp_list.0.kernel.signal_variance', tensor([1.1614])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,974 - DEBUG - Epoch 17 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.8333])), ('cigp_list.0.kernel.length_scales', tensor([0.8234])), ('cigp_list.0.kernel.signal_variance', tensor([1.1722])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,985 - DEBUG - Epoch 18 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.8240])), ('cigp_list.0.kernel.length_scales', tensor([0.8121])), ('cigp_list.0.kernel.signal_variance', tensor([1.1831])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:43,998 - DEBUG - Epoch 19 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.8147])), ('cigp_list.0.kernel.length_scales', tensor([0.8007])), ('cigp_list.0.kernel.signal_variance', tensor([1.1942])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:44,010 - DEBUG - Epoch 20 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.8056])), ('cigp_list.0.kernel.length_scales', tensor([0.7892])), ('cigp_list.0.kernel.signal_variance', tensor([1.2054])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:44,023 - DEBUG - Epoch 21 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.7965])), ('cigp_list.0.kernel.length_scales', tensor([0.7775])), ('cigp_list.0.kernel.signal_variance', tensor([1.2169])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:44,033 - DEBUG - Epoch 22 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.7876])), ('cigp_list.0.kernel.length_scales', tensor([0.7657])), ('cigp_list.0.kernel.signal_variance', tensor([1.2285])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:44,046 - DEBUG - Epoch 23 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.7788])), ('cigp_list.0.kernel.length_scales', tensor([0.7537])), ('cigp_list.0.kernel.signal_variance', tensor([1.2403])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:44,060 - DEBUG - Epoch 24 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.7701])), ('cigp_list.0.kernel.length_scales', tensor([0.7417])), ('cigp_list.0.kernel.signal_variance', tensor([1.2522])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:44,073 - DEBUG - Epoch 25 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.7616])), ('cigp_list.0.kernel.length_scales', tensor([0.7294])), ('cigp_list.0.kernel.signal_variance', tensor([1.2644])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:44,086 - DEBUG - Epoch 26 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.7533])), ('cigp_list.0.kernel.length_scales', tensor([0.7170])), ('cigp_list.0.kernel.signal_variance', tensor([1.2767])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
2024-03-13 15:53:44,097 - DEBUG - Epoch 27 - Model Parameters: OrderedDict([('b', tensor(1.)), ('cigp_list.0.log_beta', tensor([0.7452])), ('cigp_list.0.kernel.length_scales', tensor([0.7045])), ('cigp_list.0.kernel.signal_variance', tensor([1.2892])), ('cigp_list.1.log_beta', tensor([1.])), ('cigp_list.1.kernel.b', tensor(1.)), ('cigp_list.1.kernel.length_scales', tensor([1.])), ('cigp_list.1.kernel.signal_variance', tensor([1.])), ('cigp_list.1.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.1.kernel.kernel1.signal_variance', tensor([1.])), ('cigp_list.2.log_beta', tensor([1.])), ('cigp_list.2.kernel.b', tensor(1.)), ('cigp_list.2.kernel.length_scales', tensor([1.])), ('cigp_list.2.kernel.signal_variance', tensor([1.])), ('cigp_list.2.kernel.kernel1.length_scales', tensor([1.])), ('cigp_list.2.kernel.kernel1.signal_variance', tensor([1.]))])
