2024-03-03 11:42:50,444 - INFO - torch_version:2.1.1+cpu
2024-03-03 11:42:51,566 - DEBUG - Epoch 11 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.8908])), ('gpr_list.0.kernel.length_scale', tensor([0.8892])), ('gpr_list.0.kernel.signal_variance', tensor([0.9176])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,578 - DEBUG - Epoch 12 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.8810])), ('gpr_list.0.kernel.length_scale', tensor([0.8790])), ('gpr_list.0.kernel.signal_variance', tensor([0.9189])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,587 - DEBUG - Epoch 13 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.8712])), ('gpr_list.0.kernel.length_scale', tensor([0.8687])), ('gpr_list.0.kernel.signal_variance', tensor([0.9225])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,598 - DEBUG - Epoch 14 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.8615])), ('gpr_list.0.kernel.length_scale', tensor([0.8583])), ('gpr_list.0.kernel.signal_variance', tensor([0.9279])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,609 - DEBUG - Epoch 15 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.8519])), ('gpr_list.0.kernel.length_scale', tensor([0.8479])), ('gpr_list.0.kernel.signal_variance', tensor([0.9347])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,622 - DEBUG - Epoch 16 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.8423])), ('gpr_list.0.kernel.length_scale', tensor([0.8374])), ('gpr_list.0.kernel.signal_variance', tensor([0.9426])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,632 - DEBUG - Epoch 17 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.8327])), ('gpr_list.0.kernel.length_scale', tensor([0.8268])), ('gpr_list.0.kernel.signal_variance', tensor([0.9513])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,642 - DEBUG - Epoch 18 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.8232])), ('gpr_list.0.kernel.length_scale', tensor([0.8161])), ('gpr_list.0.kernel.signal_variance', tensor([0.9606])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,652 - DEBUG - Epoch 19 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.8138])), ('gpr_list.0.kernel.length_scale', tensor([0.8053])), ('gpr_list.0.kernel.signal_variance', tensor([0.9704])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,664 - DEBUG - Epoch 20 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.8044])), ('gpr_list.0.kernel.length_scale', tensor([0.7944])), ('gpr_list.0.kernel.signal_variance', tensor([0.9806])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,673 - DEBUG - Epoch 21 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7950])), ('gpr_list.0.kernel.length_scale', tensor([0.7834])), ('gpr_list.0.kernel.signal_variance', tensor([0.9912])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
